Vlan;Description;IP Address;Netmask;Switch;Ports
1982;CD-WIFI;172.19.82.1;255.255.255.0;1;1-5
1982;CD-WIFI;;;2;7
1969;CD-IP-Cam;172.19.69.1;255.255.255.0;1;9-12
1969;CD-IP-Cam;;;2;8
1978;CD-Lockers;172.19.78.1;255.255.255.0;1;13
1978;CD-Lockers;;;2;14
1966;CD-HVAC;172.19.66.1;255.255.255.0;1;15-16
1966;CD-HVAC;;;2;17
1968;CD-Printers;172.19.68.1;255.255.255.0;1;19-20
1968;CD-Printers;;;2;18
1971;CD-Clients-C0-1;172.19.71.1;255.255.255.0;1;22
1972;CD-Clients-C2-3;172.19.72.1;255.255.255.0;2;6
